TrueLabel	PredictedProb
1.0	0.6804
1.0	0.7624
1.0	0.3696
1.0	0.6183
1.0	0.0255
1.0	0.6726
1.0	0.8819
1.0	0.7942
1.0	0.4989
1.0	0.201
1.0	0.2632
1.0	0.7093
1.0	0.0237
1.0	0.8886
1.0	0.9407
1.0	0.4305
1.0	0.9945
1.0	0.8336
1.0	0.9513
1.0	0.9583
1.0	0.2632
1.0	0.7485
1.0	0.8051
1.0	0.6293
1.0	0.672
1.0	0.7649
1.0	0.4566
1.0	0.6037
1.0	0.9391
1.0	0.6263
1.0	0.444
1.0	0.9719
1.0	0.9314
1.0	0.4177
1.0	0.4293
1.0	0.6342
1.0	0.7321
1.0	0.8315
1.0	0.3769
1.0	0.3755
1.0	0.3754
1.0	0.8819
1.0	0.1722
1.0	0.5592
0.0	0.5354
0.0	0.3657
0.0	0.1253
0.0	0.0492
0.0	0.5791
0.0	0.2221
0.0	0.3215
0.0	0.1146
0.0	0.2808
0.0	0.429
0.0	0.4123
0.0	0.2363
0.0	0.959
0.0	0.1111
0.0	0.3157
0.0	0.0972
0.0	0.2768
0.0	0.2765
0.0	0.5079
0.0	0.2283
0.0	0.3506
0.0	0.455
0.0	0.0505
0.0	0.0198
0.0	0.2874
0.0	0.6334
0.0	0.2356
0.0	0.5631
0.0	0.2329
0.0	0.2384
0.0	0.5442
0.0	0.6305
0.0	0.2304
0.0	0.7452
0.0	0.7951
0.0	0.84
1.0	0.9882
1.0	0.7422
1.0	0.9929
1.0	0.8319
1.0	0.7033
1.0	0.2307
1.0	0.6248
1.0	0.947
1.0	0.6701
1.0	0.8331
1.0	0.3051
1.0	0.8451
1.0	0.7389
1.0	0.363
1.0	0.9963
1.0	0.8949
1.0	0.2494
1.0	0.9107
1.0	0.9314
1.0	0.6669
1.0	0.3118
1.0	0.7911
1.0	0.9755
1.0	0.24
1.0	0.5279
1.0	0.7239
1.0	0.5152
1.0	0.6042
1.0	0.3962
1.0	0.9335
1.0	0.8822
1.0	0.6688
1.0	0.6617
1.0	0.9969
1.0	0.4511
1.0	0.1666
1.0	0.8579
1.0	0.7583
1.0	0.3678
1.0	0.4915
1.0	0.5391
0.0	0.8444
0.0	0.1229
0.0	0.4796
0.0	0.5148
0.0	0.4135
0.0	0.3077
0.0	0.076
0.0	0.2902
0.0	0.3291
0.0	0.5953
0.0	0.4048
0.0	0.2624
0.0	0.3538
0.0	0.3019
0.0	0.3955
0.0	0.335
0.0	0.8071
0.0	0.5739
0.0	0.7707
0.0	0.5506
0.0	0.393
0.0	0.9596
0.0	0.1677
0.0	0.19
0.0	0.2121
0.0	0.4218
0.0	0.4293
0.0	0.0323
0.0	0.902
0.0	0.2415
0.0	0.3513
0.0	0.4187
0.0	0.6555
0.0	0.0011
0.0	0.387
0.0	0.4013
0.0	0.1384
0.0	0.3406
0.0	0.7035
1.0	0.5252
1.0	0.374
1.0	0.2065
1.0	0.581
1.0	0.7466
1.0	0.907
1.0	0.3715
1.0	0.6195
1.0	0.462
1.0	0.6832
1.0	0.9226
1.0	0.3807
1.0	0.5192
1.0	0.5508
1.0	0.7908
1.0	0.7676
1.0	0.3537
