TrueLabel	PredictedProb
1.0	0.7848
1.0	0.7164
1.0	0.518
1.0	0.7798
1.0	0.1719
1.0	0.692
1.0	0.7998
1.0	0.8027
1.0	0.7352
1.0	0.311
1.0	0.214
1.0	0.7016
1.0	0.1615
1.0	0.7726
1.0	0.8017
1.0	0.6468
1.0	0.8231
1.0	0.7941
1.0	0.8101
1.0	0.7755
1.0	0.3402
1.0	0.7407
1.0	0.8008
1.0	0.7458
1.0	0.764
1.0	0.7733
1.0	0.6853
1.0	0.7199
1.0	0.8155
1.0	0.6867
1.0	0.7148
1.0	0.8093
1.0	0.797
1.0	0.6052
1.0	0.6684
1.0	0.8001
1.0	0.7934
1.0	0.7475
1.0	0.6266
1.0	0.6245
1.0	0.3379
1.0	0.8153
1.0	0.2183
1.0	0.7306
0.0	0.7153
0.0	0.6155
0.0	0.1751
0.0	0.1542
0.0	0.7252
0.0	0.1975
0.0	0.2824
0.0	0.2034
0.0	0.3525
0.0	0.6918
0.0	0.4094
0.0	0.1543
0.0	0.8019
0.0	0.1944
0.0	0.3265
0.0	0.1773
0.0	0.2542
0.0	0.4342
0.0	0.6128
0.0	0.3095
0.0	0.4928
0.0	0.7563
0.0	0.1923
0.0	0.1613
0.0	0.3009
0.0	0.7793
0.0	0.1507
0.0	0.6787
0.0	0.3446
0.0	0.222
0.0	0.7668
0.0	0.6949
0.0	0.2254
0.0	0.6638
0.0	0.7668
0.0	0.7947
1.0	0.9247
1.0	0.8255
1.0	0.9226
1.0	0.7935
1.0	0.7451
1.0	0.2458
1.0	0.6199
1.0	0.8871
1.0	0.6188
1.0	0.779
1.0	0.2684
1.0	0.8745
1.0	0.8296
1.0	0.2783
1.0	0.9285
1.0	0.7993
1.0	0.3424
1.0	0.8618
1.0	0.8797
1.0	0.6763
1.0	0.2247
1.0	0.8397
1.0	0.8957
1.0	0.1529
1.0	0.6464
1.0	0.8307
1.0	0.7223
1.0	0.7936
1.0	0.6092
1.0	0.902
1.0	0.813
1.0	0.5197
1.0	0.4974
1.0	0.8924
1.0	0.4732
1.0	0.1927
1.0	0.8908
1.0	0.7914
1.0	0.3067
1.0	0.4938
1.0	0.5292
0.0	0.906
0.0	0.1869
0.0	0.7549
0.0	0.6617
0.0	0.5364
0.0	0.4629
0.0	0.1743
0.0	0.1628
0.0	0.3944
0.0	0.6686
0.0	0.43
0.0	0.1616
0.0	0.3728
0.0	0.2758
0.0	0.4306
0.0	0.3918
0.0	0.8728
0.0	0.7457
0.0	0.8911
0.0	0.6068
0.0	0.2632
0.0	0.8554
0.0	0.1812
0.0	0.2194
0.0	0.2527
0.0	0.3528
0.0	0.4311
0.0	0.1396
0.0	0.8344
0.0	0.2163
0.0	0.3925
0.0	0.4319
0.0	0.6267
0.0	0.1267
0.0	0.3008
0.0	0.5497
0.0	0.1509
0.0	0.3608
0.0	0.7968
1.0	0.7191
1.0	0.4967
1.0	0.382
1.0	0.8281
1.0	0.8141
1.0	0.8782
1.0	0.2388
1.0	0.7703
1.0	0.6482
1.0	0.8158
1.0	0.8759
1.0	0.4808
1.0	0.8013
1.0	0.7873
1.0	0.7943
1.0	0.8067
1.0	0.2266
1.0	0.8422
1.0	0.902
1.0	0.9084
1.0	0.1908
1.0	0.8365
1.0	0.675
1.0	0.8554
1.0	0.7769
1.0	0.2732
1.0	0.559
1.0	0.8789
1.0	0.665
1.0	0.8083
1.0	0.4991
1.0	0.8722
1.0	0.4292
1.0	0.5072
1.0	0.2337
1.0	0.8633
1.0	0.8955
1.0	0.2665
1.0	0.8958
0.0	0.8515
0.0	0.288
0.0	0.8007
0.0	0.4128
0.0	0.2092
0.0	0.2822
0.0	0.3904
0.0	0.4897
0.0	0.8983
0.0	0.2338
0.0	0.2543
0.0	0.2305
0.0	0.4653
0.0	0.5325
0.0	0.8237
0.0	0.4955
0.0	0.3751
0.0	0.5462
0.0	0.24
0.0	0.3572
0.0	0.2266
0.0	0.3804
0.0	0.2164
0.0	0.253
0.0	0.3987
0.0	0.181
0.0	0.4599
0.0	0.5154
0.0	0.5859
0.0	0.2733
0.0	0.1903
0.0	0.2577
0.0	0.4721
0.0	0.2031
0.0	0.8781
0.0	0.2404
0.0	0.2112
0.0	0.1898
0.0	0.3086
0.0	0.1815
0.0	0.8837
1.0	0.6937
1.0	0.8461
1.0	0.6018
1.0	0.7983
1.0	0.8122
1.0	0.1611
1.0	0.84
1.0	0.7853
1.0	0.6233
1.0	0.2051
1.0	0.5006
1.0	0.4766
1.0	0.1378
1.0	0.784
1.0	0.1449
1.0	0.1341
1.0	0.6977
1.0	0.6084
1.0	0.8079
1.0	0.8142
1.0	0.1401
1.0	0.6042
1.0	0.7532
1.0	0.3381
1.0	0.7598
1.0	0.6223
1.0	0.7693
1.0	0.1893
1.0	0.8342
1.0	0.2402
1.0	0.1835
1.0	0.8438
1.0	0.8221
1.0	0.8411
1.0	0.7069
1.0	0.747
1.0	0.8289
1.0	0.6857
1.0	0.4378
0.0	0.1498
0.0	0.2646
0.0	0.6691
0.0	0.1342
0.0	0.1903
0.0	0.1575
0.0	0.1329
0.0	0.1384
0.0	0.1437
0.0	0.1942
0.0	0.2214
0.0	0.7006
0.0	0.404
0.0	0.523
0.0	0.134
0.0	0.4273
0.0	0.1517
0.0	0.2279
0.0	0.1355
0.0	0.1588
0.0	0.1322
0.0	0.338
0.0	0.2136
0.0	0.3695
0.0	0.7639
0.0	0.4469
0.0	0.3309
0.0	0.1329
0.0	0.4439
0.0	0.23
0.0	0.3414
0.0	0.6752
0.0	0.776
0.0	0.1505
0.0	0.7349
0.0	0.1755
0.0	0.2357
0.0	0.1378
0.0	0.1323
0.0	0.1757
0.0	0.2106
1.0	0.385
1.0	0.5808
1.0	0.7725
1.0	0.108
1.0	0.831
1.0	0.5234
1.0	0.7949
1.0	0.9443
1.0	0.2133
1.0	0.9274
1.0	0.9276
1.0	0.9391
1.0	0.7023
1.0	0.5952
1.0	0.9011
1.0	0.8902
1.0	0.8621
1.0	0.125
1.0	0.4285
1.0	0.2587
1.0	0.7286
1.0	0.7091
1.0	0.7271
1.0	0.6741
1.0	0.8277
1.0	0.9068
1.0	0.8289
1.0	0.7004
1.0	0.3848
1.0	0.3965
1.0	0.7526
1.0	0.7762
1.0	0.1571
1.0	0.2957
1.0	0.1888
1.0	0.3545
1.0	0.3369
0.0	0.3954
0.0	0.1191
0.0	0.1972
0.0	0.1881
0.0	0.1423
0.0	0.1232
0.0	0.8748
0.0	0.5849
0.0	0.1491
0.0	0.1241
0.0	0.1291
0.0	0.7726
0.0	0.2261
0.0	0.3031
0.0	0.1401
0.0	0.1273
0.0	0.5474
0.0	0.8753
0.0	0.1162
0.0	0.134
0.0	0.1402
0.0	0.1593
0.0	0.2642
0.0	0.1343
0.0	0.5879
0.0	0.1366
0.0	0.4016
0.0	0.2986
0.0	0.2664
0.0	0.601
0.0	0.1504
0.0	0.1127
0.0	0.3846
0.0	0.1469
0.0	0.1547
0.0	0.2057
0.0	0.125
0.0	0.1797
0.0	0.116
0.0	0.2322
0.0	0.1206
0.0	0.2236
0.0	0.255
