TrueLabel	PredictedProb
1.0	0.6725
1.0	0.7082
1.0	0.5713
1.0	0.6584
1.0	0.0331
1.0	0.7005
1.0	0.7872
1.0	0.7123
1.0	0.6405
1.0	0.3631
1.0	0.324
1.0	0.7228
1.0	0.0465
1.0	0.7921
1.0	0.8138
1.0	0.6114
1.0	0.897
1.0	0.7249
1.0	0.82
1.0	0.847
1.0	0.3775
1.0	0.7021
1.0	0.7191
1.0	0.6727
1.0	0.7175
1.0	0.7431
1.0	0.6097
1.0	0.7064
1.0	0.8045
1.0	0.672
1.0	0.6103
1.0	0.8335
1.0	0.7955
1.0	0.5848
1.0	0.5895
1.0	0.6512
1.0	0.7019
1.0	0.7937
1.0	0.606
1.0	0.6132
1.0	0.4619
1.0	0.7524
1.0	0.2741
1.0	0.7097
0.0	0.6697
0.0	0.564
0.0	0.1432
0.0	0.064
0.0	0.6552
0.0	0.2878
0.0	0.4356
0.0	0.1144
0.0	0.3016
0.0	0.6146
0.0	0.5874
0.0	0.2749
0.0	0.8357
0.0	0.1657
0.0	0.5274
0.0	0.1494
0.0	0.3404
0.0	0.4861
0.0	0.604
0.0	0.309
0.0	0.5366
0.0	0.6156
0.0	0.0989
0.0	0.04
0.0	0.488
0.0	0.6752
0.0	0.2702
0.0	0.6455
0.0	0.3978
0.0	0.3624
0.0	0.6745
0.0	0.6627
0.0	0.3106
0.0	0.7039
0.0	0.7399
0.0	0.7614
1.0	0.898
1.0	0.692
1.0	0.9172
1.0	0.7421
1.0	0.6758
1.0	0.2775
1.0	0.4141
1.0	0.8122
1.0	0.5909
1.0	0.7702
1.0	0.3448
1.0	0.7401
1.0	0.6852
1.0	0.4259
1.0	0.9339
1.0	0.8149
1.0	0.2974
1.0	0.7971
1.0	0.8197
1.0	0.5973
1.0	0.3565
1.0	0.7226
1.0	0.8833
1.0	0.2867
1.0	0.5294
1.0	0.7003
1.0	0.5633
1.0	0.6418
1.0	0.4423
1.0	0.8244
1.0	0.8048
1.0	0.6371
1.0	0.5255
1.0	0.9366
1.0	0.5325
1.0	0.1957
1.0	0.752
1.0	0.6903
1.0	0.4008
1.0	0.4529
1.0	0.54
0.0	0.7573
0.0	0.1875
0.0	0.4676
0.0	0.547
0.0	0.4936
0.0	0.3909
0.0	0.1492
0.0	0.3212
0.0	0.314
0.0	0.5923
0.0	0.4852
0.0	0.3056
0.0	0.5074
0.0	0.4134
0.0	0.5158
0.0	0.3919
0.0	0.7046
0.0	0.5968
0.0	0.724
0.0	0.5935
0.0	0.4503
0.0	0.8352
0.0	0.2132
0.0	0.2452
0.0	0.2742
0.0	0.4864
0.0	0.3785
0.0	0.0653
0.0	0.7992
0.0	0.2843
0.0	0.43
0.0	0.4787
0.0	0.6871
0.0	0.0041
0.0	0.4584
0.0	0.4922
0.0	0.2005
0.0	0.4148
0.0	0.7164
1.0	0.5041
1.0	0.3341
1.0	0.2618
1.0	0.6011
1.0	0.7849
1.0	0.8679
1.0	0.3213
1.0	0.715
1.0	0.6585
1.0	0.7727
1.0	0.8797
1.0	0.3831
1.0	0.4949
1.0	0.528
1.0	0.7317
1.0	0.7564
1.0	0.3067
1.0	0.6355
1.0	0.9159
1.0	0.9974
1.0	0.2015
1.0	0.5966
1.0	0.6745
1.0	0.9476
1.0	0.8423
1.0	0.2953
1.0	0.5263
1.0	0.9617
1.0	0.5459
1.0	0.8613
1.0	0.395
1.0	0.6911
1.0	0.3914
1.0	0.357
1.0	0.2185
1.0	0.8786
1.0	0.8722
1.0	0.2606
1.0	0.827
0.0	0.7942
0.0	0.2913
0.0	0.6555
0.0	0.43
0.0	0.085
0.0	0.0814
0.0	0.3316
0.0	0.4262
0.0	0.7927
0.0	0.1318
0.0	0.1379
0.0	0.1478
0.0	0.3884
0.0	0.3853
0.0	0.6514
0.0	0.2831
0.0	0.6706
0.0	0.4036
0.0	0.2588
0.0	0.3512
0.0	0.1323
0.0	0.239
0.0	0.1481
0.0	0.2533
0.0	0.2932
0.0	0.063
0.0	0.4365
0.0	0.3846
0.0	0.4307
0.0	0.0973
0.0	0.0366
0.0	0.0801
0.0	0.3366
0.0	0.0034
0.0	0.5827
0.0	0.2896
0.0	0.0775
0.0	0.1914
0.0	0.4674
0.0	0.1581
0.0	0.8283
1.0	0.7607
1.0	0.8862
1.0	0.6726
1.0	0.7281
1.0	0.7432
1.0	0.1893
1.0	0.9128
1.0	0.6753
1.0	0.6204
1.0	0.2025
1.0	0.5161
1.0	0.6428
1.0	0.2474
1.0	0.7677
1.0	0.347
1.0	0.2189
1.0	0.6597
1.0	0.5921
1.0	0.9159
1.0	0.8195
1.0	0.2253
1.0	0.5903
1.0	0.6165
1.0	0.4108
1.0	0.7853
1.0	0.6851
1.0	0.6817
1.0	0.1282
1.0	0.9592
1.0	0.3077
1.0	0.1254
1.0	0.9455
1.0	0.9137
1.0	0.991
1.0	0.6089
1.0	0.5586
1.0	0.7746
1.0	0.6332
1.0	0.3155
0.0	0.2626
0.0	0.2787
0.0	0.5443
0.0	0.2193
0.0	0.2597
0.0	0.1842
0.0	0.0489
0.0	0.1801
0.0	0.0881
0.0	0.2129
0.0	0.123
0.0	0.651
0.0	0.3744
0.0	0.5924
0.0	0.0741
0.0	0.2379
0.0	0.2642
0.0	0.3754
0.0	0.1126
0.0	0.1052
0.0	0.0552
0.0	0.2845
0.0	0.4115
0.0	0.4707
0.0	0.5716
0.0	0.6815
0.0	0.6956
0.0	0.0773
0.0	0.4279
0.0	0.2258
0.0	0.5114
0.0	0.5179
0.0	0.5691
0.0	0.2198
0.0	0.7809
0.0	0.1523
0.0	0.4434
0.0	0.2421
0.0	0.196
0.0	0.2447
0.0	0.2849
1.0	0.4202
1.0	0.4354
1.0	0.7885
1.0	0.0446
1.0	0.8148
1.0	0.5756
1.0	0.794
1.0	0.9971
1.0	0.2618
1.0	0.9558
1.0	0.9516
1.0	0.9865
1.0	0.7113
1.0	0.707
1.0	0.912
1.0	0.96
1.0	0.9512
1.0	0.1902
1.0	0.396
1.0	0.4357
1.0	0.7786
1.0	0.7838
1.0	0.7795
1.0	0.6513
1.0	0.8835
1.0	0.8947
1.0	0.939
1.0	0.8482
1.0	0.7251
1.0	0.3555
1.0	0.7367
1.0	0.6586
1.0	0.1614
1.0	0.2997
1.0	0.188
1.0	0.372
1.0	0.4533
0.0	0.5757
0.0	0.1387
0.0	0.1518
0.0	0.2549
0.0	0.1384
0.0	0.0535
0.0	0.8861
0.0	0.6718
0.0	0.2372
0.0	0.0908
0.0	0.2054
0.0	0.7453
0.0	0.3041
0.0	0.3119
0.0	0.1122
0.0	0.0488
0.0	0.5396
0.0	0.9266
0.0	0.076
0.0	0.1764
0.0	0.0911
0.0	0.1724
0.0	0.3164
0.0	0.1926
0.0	0.7307
0.0	0.1191
0.0	0.4344
0.0	0.298
0.0	0.4767
0.0	0.4087
0.0	0.0878
0.0	0.0351
0.0	0.5839
0.0	0.1703
0.0	0.0989
0.0	0.1261
0.0	0.029
0.0	0.1791
0.0	0.1492
0.0	0.2705
0.0	0.0708
0.0	0.1927
0.0	0.3469
