TrueLabel	PredictedProb
1.0	0.8493
1.0	0.8207
1.0	0.6482
1.0	0.8087
1.0	0.2281
1.0	0.7962
1.0	0.8303
1.0	0.8503
1.0	0.8355
1.0	0.3106
1.0	0.1594
1.0	0.6526
1.0	0.1501
1.0	0.8181
1.0	0.8263
1.0	0.3025
1.0	0.8223
1.0	0.8218
1.0	0.8308
1.0	0.6348
1.0	0.6756
1.0	0.8085
1.0	0.8485
1.0	0.761
1.0	0.7982
1.0	0.7651
1.0	0.6514
1.0	0.7141
1.0	0.8414
1.0	0.5896
1.0	0.6412
1.0	0.8392
1.0	0.8391
1.0	0.3863
1.0	0.4157
1.0	0.8518
1.0	0.8483
1.0	0.4791
1.0	0.7186
1.0	0.7428
1.0	0.2164
1.0	0.8524
1.0	0.2308
1.0	0.5818
0.0	0.5446
0.0	0.7637
0.0	0.2028
0.0	0.2409
0.0	0.7876
0.0	0.1569
0.0	0.203
0.0	0.2241
0.0	0.5723
0.0	0.2005
0.0	0.2929
0.0	0.1453
0.0	0.7425
0.0	0.4155
0.0	0.3818
0.0	0.1573
0.0	0.2086
0.0	0.4929
0.0	0.7056
0.0	0.169
0.0	0.5013
0.0	0.7923
0.0	0.182
0.0	0.178
0.0	0.4842
0.0	0.6942
0.0	0.1467
0.0	0.6378
0.0	0.2088
0.0	0.2047
0.0	0.7502
0.0	0.7934
0.0	0.1729
0.0	0.6913
0.0	0.4061
0.0	0.8218
1.0	0.7222
1.0	0.56
1.0	0.6833
1.0	0.5849
1.0	0.5394
1.0	0.3687
1.0	0.6035
1.0	0.5762
1.0	0.5519
1.0	0.4175
1.0	0.3218
1.0	0.6437
1.0	0.7051
1.0	0.3262
1.0	0.7299
1.0	0.4054
1.0	0.3739
1.0	0.5787
1.0	0.5628
1.0	0.5956
1.0	0.2874
1.0	0.6722
1.0	0.6639
1.0	0.339
1.0	0.5727
1.0	0.5398
1.0	0.5251
1.0	0.4838
1.0	0.486
1.0	0.725
1.0	0.5028
1.0	0.5296
1.0	0.5052
1.0	0.5857
1.0	0.3832
1.0	0.4529
1.0	0.7398
1.0	0.6064
1.0	0.4554
1.0	0.4638
1.0	0.5459
0.0	0.7491
0.0	0.3496
0.0	0.5208
0.0	0.5538
0.0	0.4707
0.0	0.4555
0.0	0.3422
0.0	0.4974
0.0	0.4664
0.0	0.5344
0.0	0.3305
0.0	0.2998
0.0	0.4346
0.0	0.3767
0.0	0.3804
0.0	0.4037
0.0	0.7093
0.0	0.4754
0.0	0.6869
0.0	0.5152
0.0	0.2859
0.0	0.6477
0.0	0.4339
0.0	0.3429
0.0	0.3896
0.0	0.3691
0.0	0.4924
0.0	0.3227
0.0	0.5604
0.0	0.4102
0.0	0.358
0.0	0.4509
0.0	0.499
0.0	0.4255
0.0	0.3186
0.0	0.3576
0.0	0.3045
0.0	0.472
0.0	0.5307
1.0	0.4926
1.0	0.4402
1.0	0.2242
1.0	0.4872
1.0	0.4491
1.0	0.8877
1.0	0.216
1.0	0.4492
1.0	0.5198
1.0	0.4665
1.0	0.8642
1.0	0.4496
1.0	0.8939
1.0	0.9255
1.0	0.9069
1.0	0.6364
1.0	0.2231
1.0	0.9185
1.0	0.836
1.0	0.9121
1.0	0.1806
1.0	0.9263
1.0	0.341
1.0	0.7383
1.0	0.8845
1.0	0.2381
1.0	0.3606
1.0	0.6704
1.0	0.9051
1.0	0.8606
1.0	0.7026
1.0	0.7855
1.0	0.3534
1.0	0.5599
1.0	0.3199
1.0	0.85
1.0	0.8473
1.0	0.3062
1.0	0.9098
0.0	0.8063
0.0	0.3545
0.0	0.7345
0.0	0.1935
0.0	0.2316
0.0	0.2886
0.0	0.8567
0.0	0.163
0.0	0.8564
0.0	0.2687
0.0	0.2474
0.0	0.3089
0.0	0.4057
0.0	0.2859
0.0	0.5897
0.0	0.3905
0.0	0.2342
0.0	0.2966
0.0	0.2647
0.0	0.4833
0.0	0.167
0.0	0.2488
0.0	0.2226
0.0	0.2131
0.0	0.4012
0.0	0.1816
0.0	0.6735
0.0	0.5392
0.0	0.4639
0.0	0.3573
0.0	0.2015
0.0	0.1803
0.0	0.3326
0.0	0.165
0.0	0.9307
0.0	0.1573
0.0	0.2112
0.0	0.2296
0.0	0.1591
0.0	0.1373
0.0	0.8687
1.0	0.8927
1.0	0.9128
1.0	0.7852
1.0	0.86
1.0	0.8712
1.0	0.1882
1.0	0.9195
1.0	0.8764
1.0	0.7508
1.0	0.3034
1.0	0.6033
1.0	0.7711
1.0	0.2436
1.0	0.8739
1.0	0.2257
1.0	0.1987
1.0	0.5579
1.0	0.8481
1.0	0.8702
1.0	0.8747
1.0	0.2294
1.0	0.8946
1.0	0.8841
1.0	0.5712
1.0	0.9136
1.0	0.7635
1.0	0.8515
1.0	0.5706
1.0	0.9116
1.0	0.1311
1.0	0.3321
1.0	0.9251
1.0	0.8722
1.0	0.8746
1.0	0.9004
1.0	0.3606
