TrueLabel	PredictedProb
1.0	0.795
1.0	0.78
1.0	0.4696
1.0	0.7564
1.0	0.1927
1.0	0.6717
1.0	0.7927
1.0	0.8149
1.0	0.6795
1.0	0.2707
1.0	0.2293
1.0	0.7302
1.0	0.1961
1.0	0.7641
1.0	0.7994
1.0	0.5645
1.0	0.8253
1.0	0.7979
1.0	0.8071
1.0	0.7739
1.0	0.3897
1.0	0.7733
1.0	0.805
1.0	0.7021
1.0	0.7729
1.0	0.7855
1.0	0.5768
1.0	0.7359
1.0	0.8217
1.0	0.6936
1.0	0.6304
1.0	0.8169
1.0	0.8047
1.0	0.571
1.0	0.6624
1.0	0.8057
1.0	0.7995
1.0	0.7336
1.0	0.6474
1.0	0.6197
1.0	0.2785
1.0	0.8221
1.0	0.2211
1.0	0.6876
0.0	0.5884
0.0	0.5595
0.0	0.215
0.0	0.2049
0.0	0.7361
0.0	0.2232
0.0	0.2583
0.0	0.2305
0.0	0.3729
0.0	0.5629
0.0	0.2958
0.0	0.227
0.0	0.7918
0.0	0.2373
0.0	0.3469
0.0	0.2192
0.0	0.2636
0.0	0.3084
0.0	0.5982
0.0	0.2902
0.0	0.5135
0.0	0.7228
0.0	0.2108
0.0	0.1946
0.0	0.2685
0.0	0.7565
0.0	0.2275
0.0	0.6619
0.0	0.2591
0.0	0.2382
0.0	0.7413
0.0	0.6976
0.0	0.2227
0.0	0.6752
0.0	0.7003
0.0	0.7914
1.0	0.8109
1.0	0.6945
1.0	0.8097
1.0	0.7625
1.0	0.4954
1.0	0.2105
1.0	0.4103
1.0	0.688
1.0	0.5093
1.0	0.5923
1.0	0.2973
1.0	0.802
1.0	0.8055
1.0	0.285
1.0	0.8078
1.0	0.6451
1.0	0.4543
1.0	0.8021
1.0	0.7885
1.0	0.5681
1.0	0.213
1.0	0.799
1.0	0.8014
1.0	0.1936
1.0	0.6512
1.0	0.7674
1.0	0.733
1.0	0.7765
1.0	0.3258
1.0	0.8115
1.0	0.7106
1.0	0.6498
1.0	0.5629
1.0	0.7665
1.0	0.4754
1.0	0.2638
1.0	0.8129
1.0	0.7768
1.0	0.443
1.0	0.3842
1.0	0.6971
0.0	0.8134
0.0	0.227
0.0	0.3938
0.0	0.6204
0.0	0.5405
0.0	0.5132
0.0	0.2084
0.0	0.2228
0.0	0.2834
0.0	0.6937
0.0	0.3257
0.0	0.1947
0.0	0.4743
0.0	0.3583
0.0	0.4385
0.0	0.2993
0.0	0.8055
0.0	0.7001
0.0	0.8016
0.0	0.7464
0.0	0.2668
0.0	0.7889
0.0	0.2289
0.0	0.2268
0.0	0.2301
0.0	0.3706
0.0	0.3171
0.0	0.1857
0.0	0.7474
0.0	0.2217
0.0	0.4176
0.0	0.4385
0.0	0.6395
0.0	0.1833
0.0	0.377
