TrueLabel	PredictedProb
1.4314	tensor(1.7785)
2.1761	tensor(1.7225)
1.5316	tensor(1.4128)
3.0981	tensor(2.6068)
-0.0915	tensor(2.3976)
2.9604	tensor(2.3427)
-0.7447	tensor(-0.2890)
2.1679	tensor(1.7013)
1.8351	tensor(1.6715)
1.3032	tensor(1.6751)
3.762	tensor(2.4726)
2.9939	tensor(2.6317)
-0.0985	tensor(2.2631)
0.2201	tensor(1.7180)
2.3918	tensor(1.9816)
1.6212	tensor(1.1824)
3.9122	tensor(2.3770)
1.9978	tensor(1.6201)
-0.7959	tensor(-0.4038)
0.3483	tensor(1.6220)
2.4065	tensor(2.6308)
2.3464	tensor(1.6638)
1.7731	tensor(1.6887)
3.0187	tensor(2.5866)
2.1563	tensor(2.1461)
2.6863	tensor(3.3049)
2.4442	tensor(2.1481)
3.9908	tensor(2.4300)
2.881	tensor(1.6854)
2.1679	tensor(2.1305)
1.8325	tensor(2.1528)
3.6536	tensor(3.3004)
-0.1549	tensor(2.0670)
2.4378	tensor(2.0562)
2.3879	tensor(2.7028)
1.2788	tensor(2.1513)
4.3167	tensor(3.1997)
2.168	tensor(2.8196)
2.8313	tensor(2.8308)
3.1361	tensor(3.0989)
-0.6576	tensor(0.1427)
1.9031	tensor(2.1425)
0.2304	tensor(2.1283)
1.9978	tensor(1.9446)
2.1761	tensor(2.0997)
-1.7447	tensor(0.2384)
-1.4815	tensor(0.3575)
3.1293	tensor(3.2835)
-0.3279	tensor(1.8308)
2.4065	tensor(2.7735)
2.5353	tensor(1.8047)
3.7983	tensor(2.7724)
1.9031	tensor(1.8078)
1.9978	tensor(1.8045)
1.9699	tensor(1.8054)
1.8182	tensor(2.7734)
1.9956	tensor(2.7721)
3.4944	tensor(2.7713)
2.4065	tensor(2.7735)
2.0917	tensor(1.8053)
3.4191	tensor(2.5253)
3.4282	tensor(2.7721)
2.301	tensor(1.8053)
1.9978	tensor(1.8045)
3.5983	tensor(2.5247)
2.9576	tensor(2.7724)
2.9872	tensor(1.8079)
-0.6383	tensor(1.8038)
2.324	tensor(2.7734)
0.1987	tensor(1.8055)
1.6444	tensor(1.8063)
2.5763	tensor(2.7736)
2.9369	tensor(2.7730)
2.233	tensor(2.5783)
2.4771	tensor(1.7364)
2.1971	tensor(2.4235)
0.8388	tensor(1.7944)
1.1072	tensor(1.8016)
1.8351	tensor(1.7977)
1.8976	tensor(2.0394)
2.5563	tensor(1.5050)
1.2304	tensor(1.7578)
2.1761	tensor(1.7359)
2.203	tensor(2.6658)
2.7229	tensor(2.3929)
1.9489	tensor(1.7947)
1.2041	tensor(1.1276)
-0.6021	tensor(0.3239)
2.8363	tensor(2.4182)
-0.0883	tensor(2.4481)
2.752	tensor(2.4134)
2.8168	tensor(2.4104)
2.127	tensor(2.4180)
1.9974	tensor(2.4740)
3.9546	tensor(2.7683)
1.7226	tensor(2.6146)
3.2233	tensor(2.7648)
1.0294	tensor(0.2669)
1.5049	tensor(2.7965)
-0.3344	tensor(1.8773)
2.655	tensor(2.6223)
1.0043	tensor(0.8155)
-0.3979	tensor(0.5778)
1.8762	tensor(1.2735)
3.1909	tensor(2.8946)
1.8351	tensor(1.4545)
3.1095	tensor(2.6742)
2.8756	tensor(2.9561)
2.2017	tensor(1.9708)
3.0017	tensor(3.0866)
2.8968	tensor(2.2453)
2.6249	tensor(2.8528)
1.7709	tensor(0.4340)
2.1679	tensor(1.0626)
2.3391	tensor(1.5010)
1.7414	tensor(1.3475)
1.6338	tensor(2.6136)
1.721	tensor(1.1074)
3.073	tensor(2.7469)
1.2304	tensor(1.1972)
1.9315	tensor(2.0108)
