TrueLabel	PredictedProb
1.4314	tensor(1.4718)
2.1761	tensor(1.7191)
1.5316	tensor(1.4314)
3.0981	tensor(2.7702)
-0.0915	tensor(2.4621)
2.9604	tensor(2.5939)
-0.7447	tensor(-0.7931)
2.1679	tensor(1.6067)
1.8351	tensor(1.5835)
1.3032	tensor(1.6752)
3.762	tensor(2.7219)
2.9939	tensor(2.8962)
-0.0985	tensor(1.7428)
0.2201	tensor(1.4518)
2.3918	tensor(2.3733)
1.6212	tensor(0.9592)
3.9122	tensor(2.4576)
1.9978	tensor(1.4027)
-0.7959	tensor(-1.1548)
0.3483	tensor(1.4278)
2.4065	tensor(2.7736)
2.3464	tensor(1.5976)
1.7731	tensor(1.6565)
3.0187	tensor(2.5937)
2.1563	tensor(2.2434)
2.6863	tensor(2.6051)
2.4442	tensor(1.6997)
3.9908	tensor(3.0713)
2.881	tensor(1.6017)
2.1679	tensor(1.9577)
1.8325	tensor(2.0024)
3.6536	tensor(3.5398)
-0.1549	tensor(1.8617)
2.4378	tensor(1.8712)
2.3879	tensor(1.6409)
1.2788	tensor(1.6570)
4.3167	tensor(3.6594)
2.168	tensor(1.7247)
2.8313	tensor(2.8507)
3.1361	tensor(2.5271)
-0.6576	tensor(-0.7888)
1.9031	tensor(1.8542)
0.2304	tensor(1.9874)
1.9978	tensor(1.8991)
2.1761	tensor(2.1851)
-1.7447	tensor(-0.7476)
-1.4815	tensor(-0.4782)
3.1293	tensor(3.3640)
-0.3279	tensor(1.7128)
2.4065	tensor(3.2225)
2.5353	tensor(1.9761)
3.7983	tensor(3.0485)
1.9031	tensor(2.1640)
1.9978	tensor(1.7508)
1.9699	tensor(2.1195)
1.8182	tensor(3.1693)
1.9956	tensor(3.1573)
3.4944	tensor(3.2418)
2.4065	tensor(3.2225)
2.0917	tensor(2.1379)
3.4191	tensor(2.3455)
3.4282	tensor(2.4451)
2.301	tensor(2.0207)
1.9978	tensor(1.7508)
3.5983	tensor(3.1145)
2.9576	tensor(3.2979)
2.9872	tensor(1.7365)
-0.6383	tensor(0.1829)
2.324	tensor(2.9104)
0.1987	tensor(1.5515)
1.6444	tensor(1.9960)
2.5763	tensor(2.5290)
2.9369	tensor(3.3004)
2.233	tensor(2.3040)
2.4771	tensor(1.4001)
2.1971	tensor(2.3967)
0.8388	tensor(1.4111)
1.1072	tensor(1.4072)
1.8351	tensor(1.3755)
1.8976	tensor(1.8565)
2.5563	tensor(1.3801)
1.2304	tensor(1.3925)
2.1761	tensor(1.3411)
2.203	tensor(2.4232)
2.7229	tensor(2.2871)
1.9489	tensor(1.3701)
1.2041	tensor(1.5923)
-0.6021	tensor(1.3534)
2.8363	tensor(2.3928)
-0.0883	tensor(2.3600)
2.752	tensor(2.3653)
2.8168	tensor(2.3739)
2.127	tensor(2.3954)
1.9974	tensor(2.2528)
3.9546	tensor(2.4989)
1.7226	tensor(2.3447)
3.2233	tensor(2.4343)
1.0294	tensor(1.3225)
1.5049	tensor(2.7758)
-0.3344	tensor(2.2037)
2.655	tensor(2.8751)
1.0043	tensor(1.4805)
-0.3979	tensor(1.1174)
1.8762	tensor(1.2086)
3.1909	tensor(2.1164)
1.8351	tensor(1.3656)
3.1095	tensor(2.7067)
2.8756	tensor(2.9275)
2.2017	tensor(2.3270)
3.0017	tensor(3.2209)
2.8968	tensor(2.2174)
2.6249	tensor(2.9186)
1.7709	tensor(1.0700)
2.1679	tensor(1.2423)
2.3391	tensor(1.4382)
1.7414	tensor(1.8985)
1.6338	tensor(2.3832)
1.721	tensor(1.1440)
3.073	tensor(2.7181)
1.2304	tensor(1.1086)
1.9315	tensor(2.2714)
