TrueLabel	PredictedProb
1.4314	tensor(1.5725)
2.1761	tensor(1.3288)
1.5316	tensor(2.0150)
3.0981	tensor(2.8377)
-0.0915	tensor(1.8084)
2.9604	tensor(1.7947)
-0.7447	tensor(1.3896)
2.1679	tensor(1.4172)
1.8351	tensor(1.6131)
1.3032	tensor(1.5870)
3.762	tensor(2.4023)
2.9939	tensor(3.0273)
-0.0985	tensor(1.8312)
0.2201	tensor(1.1545)
2.3918	tensor(2.1519)
1.6212	tensor(1.4392)
3.9122	tensor(2.0598)
1.9978	tensor(1.2512)
-0.7959	tensor(1.1954)
0.3483	tensor(1.3539)
2.4065	tensor(2.5812)
2.3464	tensor(1.3297)
1.7731	tensor(1.5432)
3.0187	tensor(3.0456)
2.1563	tensor(2.1102)
2.6863	tensor(2.1651)
2.4442	tensor(1.5232)
3.9908	tensor(2.4749)
2.881	tensor(0.9723)
2.1679	tensor(2.2958)
1.8325	tensor(2.0426)
3.6536	tensor(3.7671)
-0.1549	tensor(1.5114)
2.4378	tensor(1.9897)
2.3879	tensor(1.8282)
1.2788	tensor(2.1826)
4.3167	tensor(3.4876)
2.168	tensor(1.5758)
2.8313	tensor(2.8281)
3.1361	tensor(2.1667)
-0.6576	tensor(-0.5621)
1.9031	tensor(1.3263)
0.2304	tensor(1.9853)
1.9978	tensor(2.0509)
2.1761	tensor(2.2662)
-1.7447	tensor(-0.4953)
-1.4815	tensor(-0.3597)
3.1293	tensor(3.5324)
-0.3279	tensor(1.8916)
2.4065	tensor(3.1039)
2.5353	tensor(2.3563)
3.7983	tensor(3.1049)
1.9031	tensor(2.2810)
1.9978	tensor(2.0155)
1.9699	tensor(2.4048)
1.8182	tensor(2.4678)
1.9956	tensor(2.3140)
3.4944	tensor(3.2744)
2.4065	tensor(3.1039)
2.0917	tensor(2.5211)
3.4191	tensor(1.9084)
3.4282	tensor(2.4875)
2.301	tensor(2.2382)
1.9978	tensor(2.0155)
3.5983	tensor(2.2862)
2.9576	tensor(3.2865)
2.9872	tensor(0.8899)
-0.6383	tensor(-0.6085)
2.324	tensor(2.8853)
0.1987	tensor(0.9436)
1.6444	tensor(1.9169)
2.5763	tensor(2.3199)
2.9369	tensor(2.9947)
2.233	tensor(2.5015)
2.4771	tensor(1.6406)
2.1971	tensor(2.6762)
0.8388	tensor(1.8238)
1.1072	tensor(1.3513)
1.8351	tensor(1.7274)
1.8976	tensor(2.1756)
2.5563	tensor(1.2613)
1.2304	tensor(1.5730)
2.1761	tensor(1.3706)
2.203	tensor(2.8193)
2.7229	tensor(1.9860)
1.9489	tensor(1.4309)
1.2041	tensor(1.8566)
-0.6021	tensor(1.5303)
2.8363	tensor(2.6061)
-0.0883	tensor(1.5824)
2.752	tensor(2.4548)
2.8168	tensor(2.7431)
2.127	tensor(2.7992)
1.9974	tensor(2.3484)
3.9546	tensor(2.9545)
1.7226	tensor(2.3474)
3.2233	tensor(2.8339)
1.0294	tensor(1.2668)
1.5049	tensor(2.4725)
-0.3344	tensor(1.9477)
2.655	tensor(1.9745)
1.0043	tensor(1.9325)
-0.3979	tensor(0.1865)
1.8762	tensor(1.2993)
3.1909	tensor(2.1221)
1.8351	tensor(2.1359)
3.1095	tensor(2.5396)
2.8756	tensor(3.0782)
2.2017	tensor(2.2206)
3.0017	tensor(3.1251)
2.8968	tensor(2.2258)
2.6249	tensor(2.6894)
1.7709	tensor(0.3844)
2.1679	tensor(1.9105)
2.3391	tensor(0.8324)
1.7414	tensor(1.5078)
1.6338	tensor(2.3389)
1.721	tensor(0.7012)
3.073	tensor(2.7911)
1.2304	tensor(0.5758)
1.9315	tensor(2.2221)
