TrueLabel	PredictedProb
1.4314	tensor(0.5227)
2.1761	tensor(2.1936)
1.5316	tensor(1.2657)
3.0981	tensor(3.1959)
-0.0915	tensor(2.6248)
2.9604	tensor(2.8334)
-0.7447	tensor(-0.6495)
2.1679	tensor(1.7616)
1.8351	tensor(1.6532)
1.3032	tensor(1.5525)
3.762	tensor(3.1623)
2.9939	tensor(2.9144)
-0.0985	tensor(1.7293)
0.2201	tensor(1.1416)
2.3918	tensor(2.0903)
1.6212	tensor(1.4325)
3.9122	tensor(3.0425)
1.9978	tensor(1.8187)
-0.7959	tensor(-0.8825)
0.3483	tensor(-0.2164)
2.4065	tensor(3.2129)
2.3464	tensor(1.9704)
1.7731	tensor(1.7048)
3.0187	tensor(1.5969)
2.1563	tensor(1.8616)
2.6863	tensor(2.5611)
2.4442	tensor(1.7412)
3.9908	tensor(3.5184)
2.881	tensor(1.8611)
2.1679	tensor(2.0242)
1.8325	tensor(1.9496)
3.6536	tensor(3.6532)
-0.1549	tensor(2.2072)
2.4378	tensor(1.8498)
2.3879	tensor(2.0908)
1.2788	tensor(1.7055)
4.3167	tensor(3.8081)
2.168	tensor(1.9560)
2.8313	tensor(3.1684)
3.1361	tensor(3.1332)
-0.6576	tensor(-0.8247)
1.9031	tensor(2.1274)
0.2304	tensor(2.1382)
1.9978	tensor(1.8572)
2.1761	tensor(2.1268)
-1.7447	tensor(-0.7523)
-1.4815	tensor(-0.4124)
3.1293	tensor(3.6245)
-0.3279	tensor(1.9688)
2.4065	tensor(3.0333)
2.5353	tensor(1.8593)
3.7983	tensor(2.9761)
1.9031	tensor(1.9228)
1.9978	tensor(1.7942)
1.9699	tensor(1.8993)
1.8182	tensor(3.0378)
1.9956	tensor(2.7972)
3.4944	tensor(3.0286)
2.4065	tensor(3.0333)
2.0917	tensor(1.9193)
3.4191	tensor(2.5340)
3.4282	tensor(2.7957)
2.301	tensor(1.9084)
1.9978	tensor(1.7942)
3.5983	tensor(2.6999)
2.9576	tensor(3.0412)
2.9872	tensor(1.7754)
-0.6383	tensor(0.8055)
2.324	tensor(2.8939)
0.1987	tensor(1.6579)
1.6444	tensor(1.8998)
2.5763	tensor(2.6775)
2.9369	tensor(3.0419)
2.233	tensor(2.6069)
2.4771	tensor(1.7905)
2.1971	tensor(2.5478)
0.8388	tensor(1.8836)
1.1072	tensor(1.8758)
1.8351	tensor(1.7873)
1.8976	tensor(1.9745)
2.5563	tensor(1.5715)
1.2304	tensor(1.7064)
2.1761	tensor(1.7215)
2.203	tensor(2.7058)
2.7229	tensor(2.3660)
1.9489	tensor(1.8649)
1.2041	tensor(0.6065)
-0.6021	tensor(-0.9832)
2.8363	tensor(2.5432)
-0.0883	tensor(2.5378)
2.752	tensor(2.5217)
2.8168	tensor(2.5483)
2.127	tensor(2.5456)
1.9974	tensor(2.4814)
3.9546	tensor(2.8043)
1.7226	tensor(2.7680)
3.2233	tensor(2.8106)
1.0294	tensor(1.9102)
1.5049	tensor(2.7933)
-0.3344	tensor(2.5703)
2.655	tensor(2.7589)
1.0043	tensor(1.8864)
-0.3979	tensor(0.4963)
1.8762	tensor(1.5547)
3.1909	tensor(2.8401)
1.8351	tensor(1.7223)
3.1095	tensor(2.7796)
2.8756	tensor(2.8221)
2.2017	tensor(2.2573)
3.0017	tensor(2.8874)
2.8968	tensor(2.7408)
2.6249	tensor(2.8513)
1.7709	tensor(0.7581)
2.1679	tensor(1.6845)
2.3391	tensor(1.7352)
1.7414	tensor(1.5371)
1.6338	tensor(2.1478)
1.721	tensor(1.1439)
3.073	tensor(2.6474)
1.2304	tensor(0.9624)
1.9315	tensor(2.6726)
